{'truncation_error': -4.440892098500626e-16, 'E': -8.062694796241603, 'L': 40, 'Ndown_total': 1, 'Nup_total': 1}
{'truncation_error': 1.6653345369377348e-16, 'E': -4.112113806165456, 'L': 40, 'Ndown_total': 0, 'Nup_total': 2}
{'truncation_error': 3.1363800445660672e-15, 'E': -16.125392937617434, 'L': 40, 'Ndown_total': 2, 'Nup_total': 2}
{'truncation_error': 2.6181228046503745e-08, 'E': -88.57492026789248, 'L': 40, 'Ndown_total': 11, 'Nup_total': 11}
{'truncation_error': 1.3513893213171293e-08, 'E': -80.53953576028313, 'L': 40, 'Ndown_total': 10, 'Nup_total': 10}
{'truncation_error': 3.4396983202227685e-08, 'E': -96.60844741196874, 'L': 40, 'Ndown_total': 12, 'Nup_total': 12}
{'truncation_error': 5.42395238335043e-09, 'E': -72.5018638702968, 'L': 40, 'Ndown_total': 9, 'Nup_total': 9}
{'truncation_error': 1.448159083969336e-12, 'E': -40.30172919582706, 'L': 40, 'Ndown_total': 5, 'Nup_total': 5}
{'truncation_error': 7.854755506103719e-10, 'E': -56.407320237571234, 'L': 40, 'Ndown_total': 7, 'Nup_total': 7}
{'truncation_error': 3.733124920302089e-15, 'E': -12.164983791446618, 'L': 40, 'Ndown_total': 1, 'Nup_total': 3}
{'truncation_error': 7.087330938760576e-08, 'E': -120.66363446347859, 'L': 40, 'Ndown_total': 15, 'Nup_total': 15}
{'truncation_error': 1.2160411566597418e-14, 'E': -32.24496648758329, 'L': 40, 'Ndown_total': 4, 'Nup_total': 4}
{'truncation_error': 4.377272235858404e-08, 'E': -104.62915181774872, 'L': 40, 'Ndown_total': 13, 'Nup_total': 13}
{'truncation_error': 4.626374240623427e-09, 'E': -64.45539971261755, 'L': 40, 'Ndown_total': 8, 'Nup_total': 8}
{'truncation_error': 1.6826817716975029e-15, 'E': -20.21551514120116, 'L': 40, 'Ndown_total': 2, 'Nup_total': 4}
{'truncation_error': 1.0794614510524665e-10, 'E': -48.357200272066734, 'L': 40, 'Ndown_total': 6, 'Nup_total': 6}
{'truncation_error': 2.4515443967090457e-07, 'E': -144.65294823255942, 'L': 40, 'Ndown_total': 18, 'Nup_total': 18}
{'truncation_error': 1.7673861621640047e-07, 'E': -128.6624724713194, 'L': 40, 'Ndown_total': 16, 'Nup_total': 16}
{'truncation_error': 4.7978863937370164e-11, 'E': -28.271761756709726, 'L': 40, 'Ndown_total': 3, 'Nup_total': 5}
{'truncation_error': 2.942334184285872e-07, 'E': -136.65875696237387, 'L': 40, 'Ndown_total': 17, 'Nup_total': 17}
{'truncation_error': 3.084003072718576e-07, 'E': -168.56076235750268, 'L': 40, 'Ndown_total': 21, 'Nup_total': 21}
{'truncation_error': 4.375316336062845e-07, 'E': -152.6246296019263, 'L': 40, 'Ndown_total': 19, 'Nup_total': 19}
{'truncation_error': 1.2990766714935989e-06, 'E': -200.27061723586658, 'L': 40, 'Ndown_total': 25, 'Nup_total': 25}
{'truncation_error': 6.167920647995547e-07, 'E': -160.59374319363673, 'L': 40, 'Ndown_total': 20, 'Nup_total': 20}
{'truncation_error': 5.2800390719798945e-09, 'E': -36.319290210143755, 'L': 40, 'Ndown_total': 4, 'Nup_total': 6}
{'truncation_error': 8.481920264070116e-07, 'E': -176.49969874391198, 'L': 40, 'Ndown_total': 22, 'Nup_total': 22}
{'truncation_error': 1.0319303113987461e-07, 'E': -112.64739492431112, 'L': 40, 'Ndown_total': 14, 'Nup_total': 14}
{'truncation_error': 6.69472072950278e-07, 'E': -216.0641555824434, 'L': 40, 'Ndown_total': 27, 'Nup_total': 27}
{'truncation_error': -6.38378239159465e-16, 'E': -24.18652043213171, 'L': 40, 'Ndown_total': 3, 'Nup_total': 3}
{'truncation_error': 6.985462006179233e-07, 'E': -192.37041037677238, 'L': 40, 'Ndown_total': 24, 'Nup_total': 24}
{'truncation_error': 1.3317053861237839e-06, 'E': -239.62353179703618, 'L': 40, 'Ndown_total': 30, 'Nup_total': 30}
{'truncation_error': 1.070967392502115e-06, 'E': -184.43607123095128, 'L': 40, 'Ndown_total': 23, 'Nup_total': 23}
{'truncation_error': 8.714591464040158e-07, 'E': -263.02912995899175, 'L': 40, 'Ndown_total': 33, 'Nup_total': 33}
{'truncation_error': 2.1624678344936974e-06, 'E': -231.7723551662297, 'L': 40, 'Ndown_total': 29, 'Nup_total': 29}
{'truncation_error': 1.5499040002498907e-06, 'E': -278.5183663583852, 'L': 40, 'Ndown_total': 35, 'Nup_total': 35}
{'truncation_error': 1.7748209210527057e-06, 'E': -223.91941411917304, 'L': 40, 'Ndown_total': 28, 'Nup_total': 28}
{'truncation_error': 1.9270002013901956e-06, 'E': -270.77433729415793, 'L': 40, 'Ndown_total': 34, 'Nup_total': 34}
{'truncation_error': 9.830205033458125e-07, 'E': -309.29963925313336, 'L': 40, 'Ndown_total': 39, 'Nup_total': 39}
{'truncation_error': 1.5353436920910734e-06, 'E': -208.16821544511384, 'L': 40, 'Ndown_total': 26, 'Nup_total': 26}
{'truncation_error': 1.0098800433091933e-07, 'E': -52.417340692479634, 'L': 40, 'Ndown_total': 6, 'Nup_total': 8}
{'truncation_error': 2.147628632717162e-06, 'E': -255.2286649514119, 'L': 40, 'Ndown_total': 32, 'Nup_total': 32}
{'truncation_error': 2.489130540433955e-06, 'E': -247.42737617255497, 'L': 40, 'Ndown_total': 31, 'Nup_total': 31}
{'truncation_error': 2.014566889681516e-06, 'E': -301.6213295841024, 'L': 40, 'Ndown_total': 38, 'Nup_total': 38}
{'truncation_error': 6.586231846423313e-07, 'E': -428.05509213245915, 'L': 40, 'Ndown_total': 55, 'Nup_total': 55}
{'truncation_error': 1.092188574495825e-06, 'E': -435.2119884323309, 'L': 40, 'Ndown_total': 56, 'Nup_total': 56}
{'truncation_error': 3.6251902034427605e-07, 'E': -399.1198416760252, 'L': 40, 'Ndown_total': 51, 'Nup_total': 51}
{'truncation_error': 1.924121635901591e-06, 'E': -286.261250871683, 'L': 40, 'Ndown_total': 36, 'Nup_total': 36}
{'truncation_error': 2.277579736977451e-06, 'E': -420.89712946214803, 'L': 40, 'Ndown_total': 54, 'Nup_total': 54}
{'truncation_error': 1.9011188282313251e-06, 'E': -449.4194574648818, 'L': 40, 'Ndown_total': 58, 'Nup_total': 58}
{'truncation_error': 1.0891701441813508e-07, 'E': -60.45935544027425, 'L': 40, 'Ndown_total': 7, 'Nup_total': 9}
{'truncation_error': 1.8005354866739053e-06, 'E': -391.7654253341008, 'L': 40, 'Ndown_total': 50, 'Nup_total': 50}
{'truncation_error': 2.039327455891602e-06, 'E': -347.18622956017896, 'L': 40, 'Ndown_total': 44, 'Nup_total': 44}
{'truncation_error': 1.0529327390043073e-06, 'E': -406.37994335423895, 'L': 40, 'Ndown_total': 52, 'Nup_total': 52}
{'truncation_error': 1.2671030053879647e-07, 'E': -44.365882578758274, 'L': 40, 'Ndown_total': 5, 'Nup_total': 7}
{'truncation_error': 4.7040637104212306e-07, 'E': -442.3683151381168, 'L': 40, 'Ndown_total': 57, 'Nup_total': 57}
{'truncation_error': 2.136967586770683e-06, 'E': -332.1244700278943, 'L': 40, 'Ndown_total': 42, 'Nup_total': 42}
{'truncation_error': 1.5127811935220353e-06, 'E': -339.65644365570046, 'L': 40, 'Ndown_total': 43, 'Nup_total': 43}
{'truncation_error': 1.8273747221227087e-06, 'E': -316.9089482453504, 'L': 40, 'Ndown_total': 40, 'Nup_total': 40}
{'truncation_error': 6.488396382315197e-07, 'E': -354.7155625126722, 'L': 40, 'Ndown_total': 45, 'Nup_total': 45}
{'truncation_error': 2.0887868311064475e-06, 'E': -293.9424984940842, 'L': 40, 'Ndown_total': 37, 'Nup_total': 37}
{'truncation_error': 9.480285457794676e-07, 'E': -456.4685413258154, 'L': 40, 'Ndown_total': 59, 'Nup_total': 59}
{'truncation_error': 2.8205466784154032e-06, 'E': -377.0536197097512, 'L': 40, 'Ndown_total': 48, 'Nup_total': 48}
{'truncation_error': 1.0681835343928577e-06, 'E': -369.6088782384153, 'L': 40, 'Ndown_total': 47, 'Nup_total': 47}
{'truncation_error': 1.1886198013162983e-06, 'E': -324.51735749490496, 'L': 40, 'Ndown_total': 41, 'Nup_total': 41}
{'truncation_error': 7.778222904059731e-07, 'E': -413.6388408000914, 'L': 40, 'Ndown_total': 53, 'Nup_total': 53}
{'truncation_error': 1.6781065369336044e-06, 'E': -362.16253625971615, 'L': 40, 'Ndown_total': 46, 'Nup_total': 46}
{'truncation_error': 9.559078755198266e-07, 'E': -384.41052198923205, 'L': 40, 'Ndown_total': 49, 'Nup_total': 49}
{'truncation_error': 2.9074244445286007e-06, 'E': -463.51698779300983, 'L': 40, 'Ndown_total': 60, 'Nup_total': 60}
{'truncation_error': 1.5870099105339416e-07, 'E': -68.50021907439395, 'L': 40, 'Ndown_total': 8, 'Nup_total': 10}
{'truncation_error': 1.0217496527438063e-07, 'E': -76.54435497229514, 'L': 40, 'Ndown_total': 9, 'Nup_total': 11}
{'truncation_error': 2.5017222880198197e-07, 'E': -84.5748822681337, 'L': 40, 'Ndown_total': 10, 'Nup_total': 12}
{'truncation_error': 1.3261659845079114e-06, 'E': -148.6481432420103, 'L': 40, 'Ndown_total': 18, 'Nup_total': 20}
{'truncation_error': 8.11568192516911e-07, 'E': -92.60357697591441, 'L': 40, 'Ndown_total': 11, 'Nup_total': 13}
{'truncation_error': 1.8438744875656564e-06, 'E': -172.5367332938763, 'L': 40, 'Ndown_total': 21, 'Nup_total': 23}
{'truncation_error': 1.2250962832892644e-06, 'E': -108.64950379644257, 'L': 40, 'Ndown_total': 13, 'Nup_total': 15}
{'truncation_error': 7.777441624507955e-07, 'E': -124.67533499440232, 'L': 40, 'Ndown_total': 15, 'Nup_total': 17}
{'truncation_error': 2.422268419705828e-06, 'E': -196.3231694404478, 'L': 40, 'Ndown_total': 24, 'Nup_total': 26}
{'truncation_error': 5.68777490803691e-07, 'E': -100.63531012362665, 'L': 40, 'Ndown_total': 12, 'Nup_total': 14}
{'truncation_error': 2.9161667313799238e-06, 'E': -156.61316612462306, 'L': 40, 'Ndown_total': 19, 'Nup_total': 21}
{'truncation_error': 5.7946980033104065e-06, 'E': -227.8353176559914, 'L': 40, 'Ndown_total': 28, 'Nup_total': 30}
{'truncation_error': 3.578405968403556e-06, 'E': -219.9886883935036, 'L': 40, 'Ndown_total': 27, 'Nup_total': 29}
