W=4L=40Nup =137 Ndown = 5 E = -117.4626087318858794 time: 71257703 ms 71257 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =129 Ndown = 5 E = -132.8123418918117125 time: 72211355 ms 72211 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =128 Ndown = 5 E = -134.4204794671873628 time: 78857032 ms 78857 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =127 Ndown = 5 E = -135.9789416100326491 time: 80446433 ms 80446 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =132 Ndown = 5 E = -127.5187632178295303 time: 85993068 ms 85993 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =130 Ndown = 5 E = -131.1019921297427686 time: 86986201 ms 86986 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =126 Ndown = 5 E = -137.4555874723764930 time: 87346917 ms 87346 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =17 Ndown = 5 E = -84.2013928968370351 time: 93585945 ms 93585 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =18 Ndown = 5 E = -86.9995163183451155 time: 94215210 ms 94215 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =125 Ndown = 5 E = -138.8618483934604626 time: 95179207 ms 95179 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =22 Ndown = 5 E = -97.5595528141063539 time: 114476189 ms 114476 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =23 Ndown = 5 E = -100.0315014066389097 time: 148002160 ms 148002 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =24 Ndown = 5 E = -102.4703458634187143 time: 152894251 ms 152894 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =28 Ndown = 5 E = -111.6765657421837403 time: 162155781 ms 162155 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =124 Ndown = 5 E = -140.2015908253388830 time: 160174013 ms 160174 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =27 Ndown = 5 E = -109.4659164746805828 time: 169178291 ms 169178 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =25 Ndown = 5 E = -104.8642511966388611 time: 169513786 ms 169513 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =26 Ndown = 5 E = -107.1753671924602997 time: 169652448 ms 169652 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =30 Ndown = 5 E = -115.9227637097762340 time: 172186851 ms 172186 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =29 Ndown = 5 E = -113.8218256143054674 time: 189832601 ms 189832 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =33 Ndown = 5 E = -121.7707900706514721 time: 225068604 ms 225068 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =34 Ndown = 5 E = -123.6080375694577640 time: 254607832 ms 254607 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =32 Ndown = 5 E = -119.9029250827215662 time: 264408811 ms 264408 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =35 Ndown = 5 E = -125.3444842307279430 time: 266080759 ms 266080 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =122 Ndown = 5 E = -142.7616248076794534 time: 303263378 ms 303263 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =36 Ndown = 5 E = -127.0309308228909515 time: 308720870 ms 308720 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =120 Ndown = 5 E = -145.2489571702498949 time: 305289415 ms 305289 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =123 Ndown = 5 E = -141.4928464570101028 time: 326535060 ms 326535 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =118 Ndown = 5 E = -147.6358232919816089 time: 334396842 ms 334396 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =121 Ndown = 5 E = -144.0141322762869152 time: 355976947 ms 355976 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =119 Ndown = 5 E = -146.4454302512110360 time: 362201692 ms 362201 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =110 Ndown = 5 E = -155.7567962907203309 time: 371671270 ms 371671 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
W=4L=40Nup =114 Ndown = 5 E = -151.9936621352891564 time: 386950564 ms 386950 sec t_up = 1.0000000000000000t_down = 1.0000000000000000
