W,L,Nup,Ndown,E,time(ms),time(sec),
1,20,1,0,-1.9776616524481150,262,0,
1,20,2,0,-3.8888072639467852,366,0,
1,20,3,0,-5.6907449997780066,488,0,
1,20,10,0,-12.3814899960911600,953,0,
1,20,4,0,-7.3432225477453850,723,0,
1,20,11,0,-12.2320298087115216,942,0,
1,20,5,0,-8.8093262903831384,801,0,
1,20,12,0,-11.7869879418845294,925,0,
1,20,6,0,-10.0563058932832696,868,0,
1,20,13,0,-11.0563058922013049,866,0,
1,20,14,0,-10.0563058932830351,809,0,
1,20,7,0,-11.0563058922003918,927,0,
1,20,15,0,-8.8093262905614260,749,0,
1,20,8,0,-11.7869879418844778,931,0,
1,20,16,0,-7.3432225477452908,674,0,
1,20,9,0,-12.2320298087081163,959,0,
1,20,17,0,-5.6907449998086390,612,0,
1,20,18,0,-3.8888072640181548,470,0,
1,20,19,0,-1.9776616524487394,272,0,
1,20,20,0,0.0000000000000000,40,0,
2,20,1,0,-2.9776616524490658,442,0,
2,20,39,0,-2.9776616524485613,508,0,
2,20,2,0,-5.8888072640219615,743,0,
2,20,3,0,-8.6907449998059132,1124,1,
2,20,40,0,0.0000000000000000,109,0,
2,20,4,0,-11.3432225470519423,1330,1,
2,20,32,0,-19.7869879383537324,2846,2,
2,20,5,0,-13.8093262881921053,1883,1,
2,20,33,0,-18.0563058877497511,2452,2,
2,20,31,0,-21.2320298041420799,4949,4,
2,20,6,0,-16.0563058895067137,2184,2,
2,20,34,0,-16.0563058897977236,2117,2,
2,20,35,0,-13.8093262883123806,1754,1,
2,20,36,0,-11.3432225474461124,1311,1,
2,20,7,0,-18.0563058883832248,2518,2,
2,20,37,0,-8.6907449998075261,1338,1,
2,20,38,0,-5.8888072638363713,682,0,
2,20,8,0,-19.7869879382753275,3764,3,
2,20,9,0,-21.2320298050688265,4328,4,
2,20,10,0,-22.3814899879563676,11924,11,
2,20,30,0,-22.3814899897246207,9021,9,
2,20,11,0,-23.3591516409755648,31325,31,
2,20,12,0,-24.2702972531273993,37140,37,
2,20,29,0,-23.3591516419737815,27954,27,
2,20,13,0,-25.1208370616866681,50742,50,
2,20,14,0,-25.9227747996327480,56300,56,
1,20,1,1,-8.0560544439411448,2811,2,
1,20,19,1,-10.8944935494527595,1018,1,
1,20,2,1,-10.0303440756829190,6531,6,
2,20,28,0,-24.2702972532273513,48496,48,
2,20,27,0,-25.1208370667486598,51073,51,
1,20,18,1,-12.7134685244868777,8122,8,
1,20,3,1,-11.9305592387468931,13033,13,
1,20,17,1,-14.3960415878096910,12356,12,
1,20,16,1,-15.9066166617460087,14655,14,
2,20,16,0,-27.1302104797080545,70122,70,
1,20,4,1,-13.7101257464354589,16950,16,
1,20,5,1,-15.3262611817296879,21116,21,
1,20,15,1,-17.2126151109712389,19494,19,
1,20,14,1,-18.2851791970760544,23153,23,
2,20,15,0,-26.5752523463214523,82220,82,
1,20,6,1,-16.7410205639315848,25077,25,
1,20,13,1,-19.0999168806367798,25763,25,
1,20,10,1,-19.8340368470531097,30701,30,
1,20,12,1,-19.6375922089340271,28816,28,
1,20,11,1,-19.8847192459127342,29858,29,
1,20,7,1,-17.9220681477161214,27009,27,
2,20,26,0,-25.9227747994181641,75189,75,
1,20,8,1,-18.8432268676653258,29444,29,
2,20,24,0,-27.1302104798860348,80512,80,
2,20,1,1,-8.7134699391846056,5349,5,
1,20,9,1,-19.4848491650130633,30563,30,
2,20,39,1,-12.9043193026983545,1668,1,
2,20,17,0,-27.5963142200558949,90969,90,
2,20,38,1,-15.7492530948838922,7715,7,
2,20,2,1,-11.6731442590401571,13875,13,
2,20,20,0,-28.1126117752312119,94337,94,
2,20,37,1,-18.4739107072088196,11626,11,
2,20,21,0,-28.1126117746216053,95771,95,
2,20,19,0,-28.1126117751767310,99045,99,
2,20,36,1,-21.0422930757482369,16157,16,
2,20,35,1,-23.4204303054595968,23393,23,
2,20,3,1,-14.5569878369245700,25734,25,
2,20,25,0,-26.5752523466694512,107588,107,
2,20,34,1,-25.5775743516136664,33185,33,
2,20,4,1,-17.3170616207860846,42807,42,
2,20,23,0,-27.5963142207920669,120573,120,
2,20,22,0,-27.8656321644296625,139725,139,
2,20,33,1,-27.4872634931569486,55353,55,
1,20,1,1,-8.0560544439411448,2731,2,
1,20,2,2,-16.0917809176036180,9283,9,
2,20,5,1,-19.9106378439759091,72136,72,
2,20,32,1,-29.1281620805971500,74499,74,
1,20,3,3,-24.0901920255623665,22897,22,
1,20,10,10,-77.1393281438763410,26944,26,
2,20,1,1,-8.7134699394695296,5351,5,
2,20,31,1,-30.4846925880977331,93426,93,
1,20,4,4,-32.0314268034522271,40101,40,
2,20,6,1,-22.3003533213522758,99967,99,
2,20,2,2,-17.4045112638428883,20035,20,
2,20,18,0,-27.8656321643126645,210778,210,
2,20,30,1,-31.5474809540280141,126550,126,
1,20,9,9,-70.0444713389214542,71472,71,
2,20,7,1,-24.4547178007375194,131770,131,
2,20,8,1,-26.3485005338650886,164752,164,
1,20,5,5,-39.8930079464896110,110596,110,
2,20,3,3,-26.0550771486077437,92020,92,
1,20,8,8,-62.7507047105071294,125912,125,
1,20,6,6,-47.6504340888685434,140502,140,
1,20,7,7,-55.2781284731316376,258974,258,
1,20,0,10,-12.3814899960911600,1010,1,
1,20,19,1,-10.8944935494527595,1068,1,
1,20,1,19,-10.8944935494527595,1034,1,
1,20,0,20,0.0000000000000000,48,0,
1,20,18,2,-21.4149710338177144,10208,10,
1,20,17,3,-31.3552144725419204,14727,14,
1,20,2,18,-21.4149710338177144,9507,9,
2,20,4,4,-34.6450804318156926,287020,287,
1,20,3,17,-31.3552144725419204,13645,13,
1,20,9,1,-19.4848491650130633,25231,25,
1,20,16,4,-40.5679405038199832,23076,23,
1,20,4,16,-40.5679405038199832,21374,21,
1,20,10,10,-77.1393281438763410,27870,27,
1,20,1,9,-19.4848491841572340,30114,30,
1,20,5,15,-48.9460016951691017,33334,33,
1,20,15,5,-48.9460016951691017,36450,36,
2,20,39,1,-12.9043193076874587,1614,1,
1,20,6,14,-56.4139211069968809,48078,48,
2,20,38,2,-25.5169433958189700,9450,9,
1,20,8,2,-25.7323789736375446,56214,56,
1,20,14,6,-56.4139211069968809,52253,52,
1,20,7,13,-62.9277143262411869,62577,62,
1,20,2,8,-25.7323789440761495,65263,65,
2,20,37,3,-37.7218709675362973,24531,24,
1,20,13,7,-62.9277143266470773,66057,66,
1,20,8,12,-68.4843197676711810,83262,83,
1,20,12,8,-68.4843197676711810,88637,88,
2,20,36,4,-49.4354305774700933,59850,59,
1,20,9,11,-73.1503642845438407,110540,110,
1,20,7,3,-31.1442725616644651,112585,112,
1,20,5,5,-39.8930079468178249,114129,114,
1,20,3,7,-31.1442725616644651,112412,112,
1,20,11,9,-73.1503642845438407,112087,112,
2,20,0,20,-28.1126117752312119,80101,80,
1,20,6,4,-35.7991707488500666,160291,160,
1,20,4,6,-35.7991707488500666,160243,160,
2,20,10,1,-29.4964931905295167,554160,554,
2,20,35,5,-60.5898487965594370,156587,156,
2,20,5,5,-43.1535209229479193,479351,479,
2,20,9,1,-27.9630032773333426,593444,593,
2,20,4,36,-49.4354305771073115,76498,76,
2,20,3,37,-37.7218709675362973,30723,30,
2,20,11,1,-30.7646572570883627,753270,753,
2,20,2,38,-25.5169433958189700,11656,11,
2,20,34,6,-71.1305115792835636,364478,364,
2,20,0,40,0.0000000000000000,92,0,
2,20,1,39,-12.9043193026983065,1898,1,
2,20,5,35,-60.5898487965594370,183434,183,
2,20,6,34,-71.1305115792835636,395732,395,
2,20,6,6,-51.5603525810865193,1013852,1013,
2,20,12,1,-31.7426231614180843,1189760,1189,
2,20,33,7,-81.0161560696966205,877868,877,
2,20,29,1,-32.4733439531167249,1401160,1401,
2,20,7,33,-81.0161560696966205,925649,925,
2,20,7,7,-59.8490865418459066,1862957,1862,
2,20,32,8,-90.2196226474470109,1582166,1582,
2,20,28,1,-33.3115833830103725,2017761,2017,
2,20,8,32,-90.2196226474470109,1619426,1619,
2,20,27,1,-34.0759316642513568,2469824,2469,
2,20,13,1,-32.6990649727502074,2823374,2823,
2,20,31,9,-98.7285212237129031,2702267,2702,
2,20,20,20,-158.5576850894372001,3215435,3215,
2,20,26,1,-34.7873047141760168,3437862,3437,
2,20,20,20,-158.5576850894365180,3277334,3277,
2,20,9,31,-98.7285212237129031,3206325,3206,
2,20,9,9,-76.0423684646667510,3933651,3933,
2,20,8,8,-68.0098930253544580,4200802,4200,
2,20,14,1,-33.5671191503069224,4727879,4727,
2,20,25,1,-35.3385835551967560,5144675,5144,
2,20,10,10,-83.9559971902007902,4829508,4829,
2,20,10,10,-83.9559971886984897,5133945,5133,
2,20,24,1,-35.8050912687095320,5578918,5578,
2,20,15,1,-34.2984436143885318,6463862,6463,
2,20,23,1,-36.1599524424085743,6663260,6663,
2,20,16,1,-34.9798013230265141,6676800,6676,
2,20,19,1,-36.2582061200125381,6346982,6346,
2,20,30,10,-106.5471164331990082,6393555,6393,
2,20,11,11,-91.7673626767298600,6907683,6907,
2,20,22,1,-36.3412300352730213,7083174,7083,
2,20,10,30,-106.5471164326648932,6725234,6725,
2,20,21,1,-36.4697850775059322,7504886,7504,
2,20,18,1,-35.9251591723987858,7661774,7661,
2,20,17,1,-35.5296283975384668,7718504,7718,
2,20,20,1,-36.3813558026836361,7862200,7862,
2,20,19,1,-36.2582061200125381,7941602,7941,
2,20,1,19,-36.2582061200125381,7744815,7744,
2,20,12,12,-99.4903663210661051,9846986,9846,
2,20,13,13,-107.1328679291111001,12989919,12989,
2,20,14,14,-114.6986815824375157,15944508,15944,
2,20,15,15,-122.1892789267981954,18350325,18350,
2,20,16,16,-129.6050635145197418,21023983,21023,
2,20,17,17,-136.9463973446151499,23818690,23818,
2,20,18,18,-144.2147078274258831,24562729,24562,
2,20,19,19,-151.4144284003330654,26608159,26608,
2,20,18,2,-43.8549452520503209,26776022,26776,
2,20,2,18,-43.8549452520503209,26999098,26999,
2,20,16,4,-57.6777152880037107,34657330,34657,
2,20,4,16,-57.6777152876062615,34827114,34827,
2,20,17,3,-50.9890587842452518,41832245,41832,
2,20,3,17,-50.9890587842452518,42019536,42019,
2,20,11,9,-80.7154540370711970,47807547,47807,
2,20,9,11,-80.7154540505416946,49016645,49016,
2,20,5,15,-63.3804412660594352,52152535,52152,
2,20,29,11,-113.5285261189079193,52245216,52245,
2,20,11,29,-113.5285261232842373,53128345,53128,
2,20,15,5,-63.3804412660594352,54025265,54025,
2,20,23,17,-146.9189796995591735,58613702,58613,
2,20,17,23,-146.9189796995591735,58593565,58593,
2,20,18,22,-151.0369123232669324,58683054,58683,
2,20,22,18,-151.0369123232669324,59584792,59584,
2,20,6,14,-68.4207838979675813,68124988,68124,
2,20,19,21,-154.8694472607187436,68247540,68247,
2,20,14,6,-68.4207839024221300,70146610,70146,
2,20,21,19,-154.8694472667922355,70618088,70618,
2,20,24,16,-142.4220922169230334,72812466,72812,
2,20,16,24,-142.4220922169230334,74512486,74512,
2,20,14,26,-132.1378214763687424,81514990,81514,
2,20,26,14,-132.1378214763687424,82043818,82043,
2,20,13,27,-126.3231449744533847,82834746,82834,
2,20,27,13,-126.3231449744533847,85048062,85048,
2,20,25,15,-137.5081706034022488,93436125,93436,
2,20,15,25,-137.5081706034022488,96218420,96218,
2,20,28,12,-120.0963754718669634,97184504,97184,
2,20,12,28,-120.0963754718669634,97107942,97107,
2,20,7,13,-72.9341093269893150,101495427,101495,
2,20,13,7,-72.9341093269893150,104217367,104217,
2,20,8,12,-76.9929686948048442,192785993,192785,
2,20,12,8,-76.9929687058576775,194184468,194184,
