W,L,Nup,Ndown,E,time(ms), time(sec),
2,40,3,1,-14.6757537488742891,106463,106,
2,40,4,1,-17.6129714029331339,173266,173,
2,40,28,0,-52.2740368486572038,1257123,1257,
2,40,55,0,-49.8560676878345390,932704,932,
2,40,5,1,-20.5065281008405016,230000,230,
2,40,54,0,-50.7110725880408069,990515,990,
2,40,6,1,-23.3446891530015073,330436,330,
2,40,52,0,-52.2740368475790405,1070026,1070,
2,40,7,1,-26.1161349757559016,422604,422,
2,40,29,0,-52.9931760591639005,1557138,1557,
2,40,31,0,-54.2482525602342207,1621699,1621,
2,40,8,1,-28.8100350439407578,531994,531,
2,40,9,1,-31.4161134328782445,639116,639,
2,40,51,0,-52.9931760605989624,1453691,1453,
2,40,32,0,-54.7912309199824463,1830911,1830,
2,40,34,0,-55.7023111015565746,1856987,1856,
2,40,38,0,-56.7512422912879657,1832817,1832,
2,40,42,0,-56.7512422911781442,1716365,1716,
2,40,10,1,-33.9247069729562085,749754,749,
2,40,46,0,-55.7023111013241135,1765817,1765,
2,40,36,0,-56.3569287449293483,2012335,2012,
2,40,49,0,-54.2482525621542777,1752736,1752,
2,40,11,1,-36.3268149409509320,831314,831,
2,40,40,0,-56.8829377571261858,1920474,1920,
2,40,33,0,-55.2612679201932266,2165682,2165,
2,40,12,1,-38.6141440195542742,888784,888,
2,40,44,0,-56.3569287475965979,2089200,2089,
2,40,13,1,-40.7791468511153141,1093823,1093,
2,40,14,1,-42.8150568207705007,1156771,1156,
2,40,47,0,-55.2612679209500541,2274990,2274,
2,40,48,0,-54.7912309181574386,2367723,2367,
2,40,15,1,-44.7159178649289828,1344685,1344,
2,40,16,1,-46.4766112905433246,1579982,1579,
2,40,27,0,-51.5034037025707434,3392045,3392,
2,40,17,1,-48.0928786211360517,2022655,2022,
2,40,68,1,-41.9063498544037998,236390,236,
2,40,67,1,-43.9470177051811248,276227,276,
2,40,66,1,-45.8559827265028375,355360,355,
2,40,65,1,-47.6277695314446632,362624,362,
2,40,69,1,-39.7402026202585787,212092,212,
2,40,70,1,-37.4555036933541743,174958,174,
2,40,64,1,-49.2576889699322820,458246,458,
2,40,53,0,-51.5034037041435795,3616393,3616,
2,40,63,1,-50.7418697610759608,490606,490,
2,40,72,1,-32.5613724178612145,131901,131,
2,40,71,1,-35.0598344357016884,145174,145,
2,40,62,1,-52.0772848799817183,512422,512,
1,40,1,1,-8.0607162155018983,11069,11,
2,40,75,1,-24.5385435073557865,67682,67,
2,40,78,1,-15.9272209625642276,32678,32,
2,40,79,1,-12.9729742897366691,26821,26,
2,40,41,0,-56.8383773941495889,3821533,3821,
2,40,77,1,-18.8463682406933195,45605,45,
2,40,74,1,-27.2913679625559595,80183,80,
2,40,76,1,-21.7201955741382555,74383,74,
1,40,2,2,-16.1165905141659636,34664,34,
2,40,73,1,-29.9688272628488548,106088,106,
1,40,3,3,-24.1639587802102120,59383,59,
2,40,61,1,-53.2617719196307107,593622,593,
1,40,4,4,-32.1987812630002637,96294,96,
1,40,5,5,-40.2166320918172531,196279,196,
2,40,39,0,-56.8383773921685886,4260346,4260,
1,40,6,6,-48.2126974917993962,343251,343,
1,40,13,13,-103.0970515479046412,337166,337,
1,40,14,14,-110.7060109377436845,353336,353,
2,40,60,1,-54.2940481676486542,1057001,1057,
1,40,7,7,-56.1817815249486046,495009,495,
1,40,15,15,-118.2370614471853969,308542,308,
2,40,1,1,-8.7186809912480605,19365,19,
1,40,12,12,-95.4168722790794845,501052,501,
1,40,18,18,-140.2989698389164346,168226,168,
2,40,2,2,-17.4320050306916876,61358,61,
1,40,11,11,-87.6722330463772437,544253,544,
1,40,19,19,-147.4562767207985701,132631,132,
1,40,20,20,-154.5066412372507614,137618,137,
1,40,17,17,-133.0396176709772647,268630,268,
1,40,16,16,-125.6836821610674093,352794,352,
1,40,10,10,-79.8698718049783878,649623,649,
2,40,3,3,-26.1359846702012462,160165,160,
1,40,9,9,-72.0164190675801308,909082,909,
2,40,4,4,-34.8262903000935253,361695,361,
1,40,8,8,-64.1183222957146626,994023,994,
2,40,5,5,-43.4982662474457626,556208,556,
2,40,37,0,-56.5693795690501346,5598798,5598,
