W,L,Nup,Ndown,E,time(ms),time(sec),
1,30,1,0,-1.9897386455282664,607,0,
1,30,2,0,-3.9487985292037933,759,0,
1,30,4,0,-7.6949926640082786,1529,1,
1,30,5,0,-9.4436858955154079,1529,1,
1,30,3,0,-5.8570770417466642,1105,1,
1,30,6,0,-11.0852127762415620,1925,1,
1,30,8,0,-13.9806628589492448,2638,2,
1,30,7,0,-12.6027290207263896,2246,2,
1,30,10,0,-16.2628028432280551,3187,3,
1,30,9,0,-15.2048748234435873,2907,2,
1,30,11,0,-17.1435911458614854,3523,3,
1,30,12,0,-17.8382016509874646,4120,4,
1,30,13,0,-18.3395067151194233,5109,5,
1,30,15,0,-18.7436606077081507,5233,5,
1,30,14,0,-18.6423622704676433,4607,4,
1,30,20,0,-16.2628028432429090,3543,3,
1,30,18,0,-17.8382016509868890,4116,4,
1,30,16,0,-18.6423622704489560,4809,4,
1,30,17,0,-18.3395067151199171,4135,4,
1,30,19,0,-17.1435911458345203,4252,4,
1,30,25,0,-9.4436858955351681,1716,1,
1,30,23,0,-12.6027290207761453,2307,2,
1,30,21,0,-15.2048748235024309,2693,2,
1,30,24,0,-11.0852127762400308,2060,2,
1,30,22,0,-13.9806628589940676,2435,2,
1,30,30,0,0.0000000000000000,78,0,
1,30,28,0,-3.9487985290972780,840,0,
1,30,26,0,-7.6949926640227897,1277,1,
1,30,29,0,-1.9897386456849040,376,0,
1,30,27,0,-5.8570770417276643,1095,1,
2,30,1,0,-2.9897386467286844,956,0,
2,30,3,0,-8.8570770417012987,2041,2,
2,30,2,0,-5.9487985292691814,1533,1,
2,30,4,0,-11.6949926629998160,2474,2,
2,30,6,0,-17.0852127730287293,3942,3,
2,30,5,0,-14.4436858927864762,3367,3,
2,30,7,0,-19.6027290157638312,4634,4,
2,30,8,0,-21.9806628528011387,5995,5,
2,30,9,0,-24.2048748163238727,7542,7,
2,30,10,0,-26.2628028321541649,9173,9,
2,30,11,0,-28.1435911368473590,12458,12,
2,30,12,0,-29.8382016396271794,16745,16,
2,30,14,0,-32.6423622621826368,24035,24,
2,30,13,0,-31.3395067010822466,25782,25,
2,30,15,0,-33.7436605884301102,35354,35,
2,30,16,0,-34.7333992443254829,81027,81,
2,30,17,0,-35.6924591239294244,127874,127,
2,30,19,0,-37.4994392949726674,216455,216,
2,30,20,0,-38.3373549172839390,289130,289,
2,30,22,0,-39.7831925928842409,325442,325,
2,30,23,0,-40.4247194732138624,429509,429,
2,30,25,0,-41.4409306502114134,485491,485,
2,30,21,0,-39.0860481469551360,683318,683,
2,30,27,0,-42.1242539833289840,548944,548,
2,30,18,0,-36.6007376233507955,719211,719,
2,30,30,0,-42.5256056614471731,553054,553,
2,30,29,0,-42.4676776461508894,575665,575,
2,30,28,0,-42.3484659468636551,692592,692,
2,30,33,0,-42.1242539838566117,535303,535,
2,30,46,0,-32.6423622620849656,25557,25,
2,30,45,0,-33.7436605908646001,58746,58,
2,30,35,0,-41.4409306512896194,513169,513,
2,30,32,0,-42.3484659466796103,671042,671,
2,30,44,0,-34.7333992440566703,106075,106,
2,30,31,0,-42.4676776465551029,751045,751,
2,30,47,0,-31.3395067027601755,30513,30,
2,30,41,0,-37.4994392967914862,215719,215,
2,30,51,0,-24.2048748165459600,7837,7,
2,30,50,0,-26.2628028351180021,11522,11,
2,30,49,0,-28.1435911351566119,15236,15,
2,30,48,0,-29.8382016407986157,19394,19,
2,30,43,0,-35.6924591240300799,143817,143,
2,30,59,0,-2.9897386467585383,1016,1,
2,30,56,0,-11.6949926633351620,2397,2,
2,30,58,0,-5.9487985288563650,1304,1,
2,30,57,0,-8.8570770416517455,2027,2,
2,30,53,0,-19.6027290147483839,4735,4,
2,30,54,0,-17.0852127730371208,4036,4,
2,30,52,0,-21.9806628513606803,6290,6,
2,30,55,0,-14.4436858937397545,3495,3,
2,30,40,0,-38.3373549178953894,279225,279,
2,30,26,0,-41.8188644896760167,945144,945,
2,30,60,0,0.0000000000000000,108,0,
1,30,1,1,-8.0595116257924566,8302,8,
2,30,38,0,-39.7831925931304724,408425,408,
1,30,2,1,-10.0482326740863854,20900,20,
1,30,3,1,-12.0039155544331670,34332,34,
2,30,37,0,-40.4247194730772108,459946,459,
1,30,4,1,-13.9050534002933297,43122,43,
1,30,5,1,-15.7308719892208053,56630,56,
1,30,6,1,-17.4615851146072067,64614,64,
1,30,7,1,-19.0786198092908883,74831,74,
1,30,8,1,-20.5648117241894681,86710,86,
1,30,9,1,-21.9045718231823443,95256,95,
1,30,10,1,-23.0840267751047961,104017,104,
1,30,11,1,-24.0911354570278604,101360,101,
1,30,12,1,-24.9157834679603383,104483,104,
1,30,13,1,-25.5498571442504741,112533,112,
1,30,14,1,-25.9872962881247389,112670,112,
2,30,34,0,-41.8188644899406938,822801,822,
1,30,17,1,-26.0905625079676753,102465,102,
1,30,21,1,-23.4716200920324596,79833,79,
1,30,16,1,-26.2584772921682941,109163,109,
1,30,15,1,-26.2241276566538701,113227,113,
1,30,20,1,-24.4060286718574204,84629,84,
1,30,29,1,-10.9506162027725118,1845,1,
1,30,19,1,-25.1590732946813880,93089,93,
1,30,23,1,-21.0996768835474313,63185,63,
1,30,27,1,-14.7126523684416171,38639,38,
1,30,22,1,-22.3656839376167724,72610,72,
1,30,18,1,-25.7226634316693499,103376,103,
1,30,26,1,-16.4770882430975476,44387,44,
2,30,1,1,-8.7173371312242658,14752,14,
1,30,25,1,-18.1405288957403705,50100,50,
1,30,28,1,-12.8645005461762150,26658,26,
1,30,24,1,-19.6865365388173750,58423,58,
2,30,2,1,-11.6977976058207691,42310,42,
2,30,3,1,-14.6441975177684309,59409,59,
2,30,39,0,-39.0860481472483841,631798,631,
2,30,4,1,-17.5347077538976350,92601,92,
2,30,5,1,-20.3483992439416923,131560,131,
2,30,6,1,-23.0654827051150164,175344,175,
2,30,42,0,-36.6007376222666849,608146,608,
2,30,7,1,-25.6674831489116428,230805,230,
2,30,8,1,-28.1374136318144359,315513,315,
2,30,9,1,-30.4599200742768339,342472,342,
2,30,10,1,-32.6214006303178436,436744,436,
2,30,11,1,-34.6101033513956793,515313,515,
2,30,12,1,-36.4162075740927804,652508,652,
2,30,13,1,-38.0318915205215333,843321,843,
2,30,24,0,-40.9422357181451702,2774015,2774,
2,30,36,0,-40.9422357141832691,2781413,2781,
2,30,14,1,-39.5759332262328556,2302361,2302,
2,30,46,1,-41.8814410077210439,281009,281,
2,30,45,1,-42.9240769482816162,477745,477,
2,30,48,1,-39.1972164182171880,227720,227,
2,30,51,1,-33.7474694016760779,134590,134,
2,30,47,1,-40.6381702584713622,286233,286,
2,30,50,1,-35.7440341011857470,139847,139,
2,30,49,1,-37.5635370569571450,200957,200,
2,30,53,1,-29.2668187643775894,90333,90,
2,30,57,1,-18.7415482572777883,33386,33,
2,30,52,1,-31.5843551537024396,127716,127,
2,30,56,1,-21.5295451496139698,42085,42,
2,30,55,1,-24.2240581699642590,52981,52,
2,30,54,1,-26.8084401121398699,57853,57,
1,30,1,1,-8.0595116257924566,8234,8,
2,30,59,1,-12.9539263375766041,17516,17,
2,30,58,1,-15.8772095275422007,18665,18,
1,30,2,2,-16.1102696797369269,26182,26,
1,30,3,3,-24.1454063769960214,46572,46,
1,30,4,4,-32.1571623787685823,86304,86,
2,30,15,1,-40.9564557089784955,2741045,2741,
1,30,5,5,-40.1368803040606323,165803,165,
2,30,1,1,-8.7173371297714581,14487,14,
1,30,6,6,-48.0750347166557219,257285,257,
1,30,14,14,-108.7569655806135529,113599,113,
1,30,15,15,-115.8226586129459292,71143,71,
1,30,13,13,-101.5521975069446086,131962,131,
2,30,2,2,-17.4249975365077248,49521,49,
2,30,3,3,-26.1155587354062497,151750,151,
1,30,12,12,-94.2170508373016986,288663,288,
2,30,16,1,-42.1401355238642950,3049707,3049,
1,30,10,10,-79.1965974316956505,475665,475,
1,30,7,7,-55.9613051216375439,570413,570,
1,30,11,11,-86.7615441520887742,531764,531,
2,30,4,4,-34.7808295464726811,405378,405,
1,30,8,8,-63.7846979636483553,786266,786,
2,30,5,5,-43.4119523143871504,643310,643,
1,30,9,9,-71.5337195089908704,1102513,1102,
2,30,6,6,-51.9995903384599529,1042068,1042,
1,30,14,1,-25.9872962881247389,112876,112,
1,30,13,2,-32.6537331602700078,187075,187,
2,30,7,7,-60.5342147139146860,2606978,2606,
1,30,12,3,-38.7433365046306690,325832,325,
1,30,11,4,-44.2678985555923177,708719,708,
1,30,10,5,-49.2566951851965413,1020132,1020,
1,30,4,11,-44.2678985572413453,685988,685,
1,30,5,10,-49.2566951851965413,1025839,1025,
1,30,3,12,-38.7433365046306690,341342,341,
1,30,0,15,-18.7436606077081507,5636,5,
1,30,9,6,-53.7670974805026844,1437712,1437,
1,30,29,1,-10.9506162027725118,1881,1,
1,30,8,7,-57.9027572656555094,1399716,1399,
1,30,1,14,-25.9872962881247389,113657,113,
1,30,28,2,-21.7190957757155090,25373,25,
1,30,2,13,-32.6537331602700078,182392,182,
1,30,27,3,-32.1918608154306156,37365,37,
1,30,26,4,-42.2791831966180780,58444,58,
1,30,6,9,-53.7670974805026844,1387683,1387,
1,30,7,8,-57.9027572656555094,1456797,1456,
1,30,25,5,-51.9092872678515747,87646,87,
2,30,9,9,-77.4078274144842453,4000780,4000,
1,30,24,6,-61.0240371058701783,136544,136,
1,30,23,7,-69.5762152601775909,244677,244,
1,30,15,15,-115.8226586129459292,63204,63,
1,30,22,8,-77.5281039134545296,433370,433,
1,30,16,14,-111.9427296787848007,398023,398,
2,30,10,10,-85.7308865553566477,4651176,4651,
1,30,21,9,-84.8511538543673112,696079,696,
1,30,20,10,-91.5267463369195156,671572,671,
1,30,14,16,-111.9427296787848007,379862,379,
1,30,17,13,-107.6974622347856041,707676,707,
1,30,19,11,-97.5484076119723653,785429,785,
1,30,6,24,-61.0240371014690481,141041,141,
1,30,5,25,-51.9092872678515747,89205,89,
1,30,18,12,-102.9264729927005959,921112,921,
1,30,7,23,-69.5762152601775909,259109,259,
1,30,2,28,-21.7190957621562042,26564,26,
1,30,4,26,-42.2791831966180780,60305,60,
1,30,0,30,0.0000000000000000,84,0,
1,30,1,29,-10.9506162027725118,1847,1,
1,30,3,27,-32.1918608154306156,38616,38,
1,30,13,17,-107.6974622347856041,688239,688,
1,30,8,22,-77.5281039134545296,435173,435,
2,30,8,8,-69.0064998383591188,5245536,5245,
1,30,11,19,-97.5484076119723653,779691,779,
1,30,10,20,-91.5267463369195156,694381,694,
1,30,9,21,-84.8511538535670269,667409,667,
1,30,12,18,-102.9264729927005959,921186,921,
2,30,11,11,-93.9703347332989267,5672506,5672,
2,30,44,1,-43.8885927017028834,8422239,8422,
2,30,12,12,-102.1234388038243992,7184857,7184,
2,30,13,13,-110.1905332774314701,8031518,8031,
2,30,30,30,-238.0513056675564769,7618707,7618,
2,30,43,1,-44.8098910621212809,12183614,12183,
2,30,17,1,-43.1251516636306320,13861242,13861,
2,30,14,14,-118.1750384410159285,11269840,11269,
2,30,15,15,-126.0828173958549030,13031692,13031,
2,30,16,16,-133.9213626991750061,15507196,15507,
2,30,18,1,-44.1056653135482080,18976733,18976,
2,30,42,1,-45.6701826486687779,18378372,18378,
2,30,17,17,-141.6974069360169608,19373604,19373,
2,30,41,1,-46.5102588814168882,21713813,21713,
2,30,0,30,-42.5256056637990696,458100,458,
2,30,59,1,-12.9539263361523158,17820,17,
2,30,58,2,-25.7572572777729327,29977,29,
2,30,57,3,-38.3409705305286224,81014,81,
2,30,56,4,-50.6557015625133999,98816,98,
2,30,15,15,-126.0828173985448899,12739482,12739,
2,30,55,5,-62.6610943843701307,207657,207,
2,30,54,6,-74.3222499328053914,412680,412,
2,30,53,7,-85.6085788842808455,1041214,1041,
2,30,52,8,-96.4935086504750501,1244342,1244,
2,30,51,9,-106.9545124926860211,2066717,2066,
2,30,18,18,-149.4158000445523555,23631026,23631,
2,30,50,10,-116.9732567421788474,4560044,4560,
2,30,40,1,-47.2912349636177680,27784789,27784,
2,30,19,1,-45.0482156467433654,29629780,29629,
2,30,19,19,-157.0797653974277068,28093401,28093,
