point1 [-4.524036030403182], [1.1273105274164736]
point2 [-4.502050567324211], [1.1385473937627388]
point4 [-4.385787347793816], [1.1577482420204959]
point3 [-4.4355449092034505], [1.1489115162204726]
point5 [-4.265941542062009], [1.2001242937995684]
point6 [-4.16043028277727], [1.2964238195990845]
point7 [-4.088599132943045], [1.4200952606682193]
point8 [-4.027349519016482], [1.5045861483544343]
point10 [-284.1627105800525], [-295.18497932860333]
point15 [-3.548067096908369], [1.8046634459865913]
