n1,n2,Re,Im
1.0,1.0,0.9841398195305848,0.0
1.0,2.0,5.271606611061313e-05,0.0
1.0,3.0,5.03922693321467e-05,0.0
1.0,4.0,2.510445392806173e-05,0.0
1.0,5.0,5.021791201888774e-06,0.0
1.0,6.0,6.135478826905929e-05,0.0
1.0,7.0,0.0001510785601520901,0.0
1.0,8.0,0.0001312476747348551,0.0
1.0,9.0,4.975292503831335e-05,0.0
1.0,10.0,4.04711138431762e-06,0.0
1.0,11.0,7.846622143580795e-05,0.0
1.0,12.0,0.0001767609768747374,0.0
1.0,13.0,0.0001064256249116779,0.0
1.0,14.0,-1.22126850509901e-05,0.0
1.0,15.0,-2.617578364923847e-05,0.0
1.0,16.0,6.133625688027698e-05,0.0
1.0,17.0,9.289274294774836e-05,0.0
1.0,18.0,-5.551082740071044e-05,0.0
1.0,19.0,-0.0001651598865949387,0.0
1.0,20.0,-8.202088136830643e-05,0.0
1.0,21.0,4.13484143656333e-05,0.0
1.0,22.0,7.33323757367735e-06,0.0
1.0,23.0,-0.0002002473137509772,0.0
1.0,24.0,-0.0002895156329289786,0.0
1.0,25.0,-0.0001248377085282467,0.0
1.0,26.0,5.239854588295425e-05,0.0
1.0,27.0,3.699509423596814e-05,0.0
1.0,28.0,-0.0001682085927855062,0.0
1.0,29.0,-0.0002712715131645438,0.0
1.0,30.0,-0.0001195555386953137,0.0
1.0,31.0,8.39169180157448e-05,0.0
1.0,32.0,0.0001486163229926069,0.0
1.0,33.0,2.947028782821222e-06,0.0
1.0,34.0,-0.0001334106948080189,0.0
1.0,35.0,-7.285916319468516e-05,0.0
1.0,36.0,9.86163401886668e-05,0.0
1.0,37.0,0.0002235284595867543,0.0
1.0,38.0,0.000154826769252658,0.0
1.0,39.0,1.07718821732553e-05,0.0
1.0,40.0,-2.009031441060461e-05,0.0
1.0,41.0,7.360452867978769e-05,0.0
1.0,42.0,0.0001849097218132694,0.0
1.0,43.0,0.0001689690077131674,0.0
1.0,44.0,6.565832701667095e-05,0.0
1.0,45.0,7.110614451781068e-06,0.0
1.0,46.0,1.458178703442716e-05,0.0
1.0,47.0,4.068623208212995e-05,0.0
1.0,48.0,4.129312898026042e-05,0.0
1.0,49.0,2.001121585025555e-05,0.0
1.0,50.0,3.866814520277769e-06,0.0
1.0,51.0,-4.950084685877355e-05,0.0
1.0,52.0,-0.0001252581705869867,0.0
1.0,53.0,-0.0001201806170093034,0.0
1.0,54.0,-5.004064746938867e-05,0.0
1.0,55.0,-6.314310774056062e-06,0.0
1.0,56.0,-8.280532007586884e-05,0.0
1.0,57.0,-0.0002028013408426778,0.0
1.0,58.0,-0.0001727416044479769,0.0
1.0,59.0,-4.717425279128424e-05,0.0
1.0,60.0,5.096144588997824e-06,0.0
1.0,61.0,-7.281372216413411e-05,0.0
1.0,62.0,-0.0001538990182149069,0.0
1.0,63.0,-7.388946324448624e-05,0.0
1.0,64.0,4.994592805194407e-05,0.0
1.0,65.0,4.209403640520662e-05,0.0
1.0,66.0,-4.278958255649003e-05,0.0
1.0,67.0,-5.32840648192949e-05,0.0
1.0,68.0,7.184937479947054e-05,0.0
1.0,69.0,0.0001620141727280039,0.0
1.0,70.0,7.899429980507543e-05,0.0
1.0,71.0,-2.469378121223853e-05,0.0
1.0,72.0,-1.717448704640781e-06,0.0
1.0,73.0,0.0001314715734375966,0.0
1.0,74.0,0.0001957070173086073,0.0
1.0,75.0,8.710525914780762e-05,0.0
1.0,76.0,-2.752318798141806e-05,0.0
1.0,77.0,-2.460880796725974e-05,0.0
1.0,78.0,7.530273075832617e-05,0.0
1.0,79.0,0.0001341397791289269,0.0
1.0,80.0,6.224619385971802e-05,0.0
1.0,81.0,-3.639208635303577e-05,0.0
1.0,82.0,-7.146392007194024e-05,0.0
1.0,83.0,-2.354664258521772e-05,0.0
1.0,84.0,3.505431616034787e-05,0.0
1.0,85.0,2.404639132231508e-05,0.0
1.0,86.0,-3.433430882528141e-05,0.0
1.0,87.0,-8.557200928494933e-05,0.0
1.0,88.0,-8.028020851859989e-05,0.0
1.0,89.0,-3.350788068294277e-05,0.0
1.0,90.0,-4.36279019418682e-06,0.0
1.0,91.0,-1.782914819503069e-05,0.0
1.0,92.0,-5.143427057758906e-05,0.0
1.0,93.0,-6.456665082359751e-05,0.0
1.0,94.0,-4.345233875103078e-05,0.0
1.0,95.0,-1.278475489257407e-05,0.0
1.0,96.0,3.960668732880274e-06,0.0
1.0,97.0,5.130244084212135e-06,0.0
1.0,98.0,-7.264403431898314e-06,0.0
1.0,99.0,-1.542854322211115e-05,0.0
1.0,100.0,-7.374398089151013e-06,0.0
1.0,101.0,1.874235892643028e-05,0.0
1.0,102.0,4.533262640380207e-05,0.0
1.0,103.0,3.777348786778581e-05,0.0
1.0,104.0,1.018527033975234e-05,0.0
1.0,105.0,-1.044528314964174e-06,0.0
1.0,106.0,2.13515724159899e-05,0.0
1.0,107.0,5.149268485227769e-05,0.0
1.0,108.0,4.379542279050853e-05,0.0
1.0,109.0,1.246505393983374e-05,0.0
1.0,110.0,-7.326140129512e-07,0.0
1.0,111.0,1.642210419119358e-05,0.0
1.0,112.0,3.665035444010197e-05,0.0
1.0,113.0,2.537681771832201e-05,0.0
1.0,114.0,1.002570656062321e-07,0.0
1.0,115.0,-4.452532224560954e-06,0.0
1.0,116.0,1.063563160096558e-05,0.0
1.0,117.0,1.998985130181984e-05,0.0
1.0,118.0,4.857125676417794e-06,0.0
1.0,119.0,-1.334787276559552e-05,0.0
1.0,120.0,-8.679522986286491e-06,0.0
1.0,121.0,6.293714494971282e-06,0.0
1.0,122.0,6.270655116212172e-06,0.0
1.0,123.0,-1.48030750622825e-05,0.0
1.0,124.0,-2.823343903365168e-05,0.0
1.0,125.0,-1.380059064435807e-05,0.0
1.0,126.0,4.192818439235161e-06,0.0
1.0,127.0,-3.603504805055238e-06,0.0
1.0,128.0,-3.385500648093391e-05,0.0
1.0,129.0,-4.580963268336186e-05,0.0
1.0,130.0,-2.020531625368708e-05,0.0
1.0,131.0,7.163357950409251e-06,0.0
1.0,132.0,5.756320999824728e-07,0.0
1.0,133.0,-3.648395076526939e-05,0.0
1.0,134.0,-5.33557250498318e-05,0.0
1.0,135.0,-2.368673631224127e-05,0.0
1.0,136.0,1.651181097216236e-05,0.0
1.0,137.0,2.553952785829903e-05,0.0
1.0,138.0,-9.627626725966721e-06,0.0
1.0,139.0,-3.870553327709618e-05,0.0
1.0,140.0,-2.007366519104516e-05,0.0
1.0,141.0,2.714585963385428e-05,0.0
1.0,142.0,5.70850273546948e-05,0.0
1.0,143.0,3.024831852528364e-05,0.0
1.0,144.0,-1.17827186039637e-05,0.0
1.0,145.0,-1.205363924190928e-05,0.0
1.0,146.0,3.023791988701147e-05,0.0
1.0,147.0,6.867386679010086e-05,0.0
1.0,148.0,4.852543959662452e-05,0.0
1.0,149.0,3.192760772591081e-06,0.0
1.0,150.0,-6.884663983159683e-06,0.0
1.0,151.0,2.097078308960422e-05,0.0
1.0,152.0,4.569941506318175e-05,0.0
