n1,n2,Re,Im
1.0,1.0,0.9523745743911911,0.0
1.0,2.0,0.01243025218698992,0.0
1.0,3.0,0.006047607346837645,0.0
1.0,4.0,0.01129084356382938,0.0
1.0,5.0,0.02342496298714809,0.0
1.0,6.0,0.0112502089324368,0.0
1.0,7.0,0.004260114692037477,0.0
1.0,8.0,0.009289610751059418,0.0
1.0,9.0,0.004226291045599116,0.0
1.0,10.0,-0.005411031921722477,0.0
1.0,11.0,-0.01026513157558412,0.0
1.0,12.0,-0.005414312888172539,0.0
1.0,13.0,-0.00675551937550355,0.0
1.0,14.0,-0.01233359519690362,0.0
1.0,15.0,-0.006742755536553336,0.0
1.0,16.0,-0.003063930071949657,0.0
1.0,17.0,-0.004691534184640428,0.0
1.0,18.0,-0.003053865375894171,0.0
1.0,19.0,-0.0008776585890232738,0.0
1.0,20.0,-0.001351495096780308,0.0
1.0,21.0,-0.000875417277466605,0.0
1.0,22.0,0.0008913505161430535,0.0
1.0,23.0,0.001188229778533108,0.0
1.0,24.0,0.0008898040119758346,0.0
1.0,25.0,0.00281263514055249,0.0
1.0,26.0,0.004848846304157067,0.0
1.0,27.0,0.002810189635892751,0.0
1.0,28.0,0.002456044056926156,0.0
1.0,29.0,0.004168995920903516,0.0
1.0,30.0,0.002453817318370321,0.0
1.0,31.0,0.0007540522559186652,0.0
1.0,32.0,0.001020380229812543,0.0
1.0,33.0,0.000752687036595144,0.0
1.0,34.0,-0.0002785570176764754,0.0
1.0,35.0,-0.0004156150866542389,0.0
1.0,36.0,-0.0002785146259331334,0.0
1.0,37.0,-0.001195486099875523,0.0
1.0,38.0,-0.001852389501230301,0.0
1.0,39.0,-0.001194392883966695,0.0
1.0,40.0,-0.001783904269683393,0.0
1.0,41.0,-0.003051833175537945,0.0
1.0,42.0,-0.001782441651291998,0.0
1.0,43.0,-0.001034197508665127,0.0
1.0,44.0,-0.001679171114206329,0.0
1.0,45.0,-0.001032424652825639,0.0
1.0,46.0,4.853334192398214e-05,0.0
1.0,47.0,0.0001931885512016858,0.0
1.0,48.0,4.978617591612492e-05,0.0
1.0,49.0,0.000614980061982126,0.0
1.0,50.0,0.0009239131715471044,0.0
1.0,51.0,0.0006153220854694764,0.0
1.0,52.0,0.00111091735018999,0.0
1.0,53.0,0.00178900119241674,0.0
1.0,54.0,0.001110255282788316,0.0
1.0,55.0,0.001110155007422244,0.0
1.0,56.0,0.001900378984045221,0.0
1.0,57.0,0.001108919155653787,0.0
1.0,58.0,0.0002862768885871863,0.0
1.0,59.0,0.0004085578660479592,0.0
1.0,60.0,0.0002851300098120163,0.0
1.0,61.0,-0.0004019594702779582,0.0
1.0,62.0,-0.0006999910660223425,0.0
1.0,63.0,-0.0004024953616184979,0.0
1.0,64.0,-0.0006979228470458105,0.0
1.0,65.0,-0.001057224022926443,0.0
1.0,66.0,-0.0006981705614971563,0.0
1.0,67.0,-0.0009125254055654527,0.0
1.0,68.0,-0.00151247437640589,0.0
1.0,69.0,-0.0009121010319728643,0.0
1.0,70.0,-0.00058441085524796,0.0
1.0,71.0,-0.001000324431161952,0.0
1.0,72.0,-0.0005839328607731765,0.0
1.0,73.0,0.0001631394917713282,0.0
1.0,74.0,0.0003369792649530338,0.0
1.0,75.0,0.000163666895064171,0.0
1.0,76.0,0.0005414105204689085,0.0
1.0,77.0,0.0008746670830416745,0.0
1.0,78.0,0.0005416982886394705,0.0
1.0,79.0,0.0006617964806643085,0.0
1.0,80.0,0.001017113532059418,0.0
1.0,81.0,0.0006619171451410821,0.0
1.0,82.0,0.0006624474990163617,0.0
1.0,83.0,0.001133000083173876,0.0
1.0,84.0,0.0006623533630769465,0.0
1.0,85.0,0.0001554286340188157,0.0
1.0,86.0,0.0002608227540903503,0.0
1.0,87.0,0.000155604922416287,0.0
1.0,88.0,-0.000424421302410888,0.0
1.0,89.0,-0.0007553144231189738,0.0
1.0,90.0,-0.0004243508156417065,0.0
1.0,91.0,-0.0005477334415123943,0.0
1.0,92.0,-0.000846178650578122,0.0
1.0,93.0,-0.0005477655775852742,0.0
1.0,94.0,-0.0005554724437643644,0.0
1.0,95.0,-0.0008765758465045544,0.0
1.0,96.0,-0.0005552871960655536,0.0
1.0,97.0,-0.0003872559570658379,0.0
1.0,98.0,-0.0006970281466422534,0.0
1.0,99.0,-0.0003871463631514809,0.0
1.0,100.0,0.0001897423066950224,0.0
1.0,101.0,0.0003414920427855335,0.0
1.0,102.0,0.0001896581670940569,0.0
1.0,103.0,0.0005352190678699243,0.0
1.0,104.0,0.0009143943551962836,0.0
1.0,105.0,0.00053534272583543,0.0
1.0,106.0,0.0004515611065030274,0.0
1.0,107.0,0.0006593015092720235,0.0
1.0,108.0,0.0004513965188728009,0.0
1.0,109.0,0.0004105775932465819,0.0
1.0,110.0,0.0006865428331708324,0.0
1.0,111.0,0.0004107452594704702,0.0
1.0,112.0,0.0001107591502465342,0.0
1.0,113.0,0.0002417266443436477,0.0
1.0,114.0,0.0001107524413190115,0.0
1.0,115.0,-0.0004369462350088133,0.0
1.0,116.0,-0.0008478213694971909,0.0
1.0,117.0,-0.0004372748941202545,0.0
