n1,n2,Re,Im
1.0,1.0,0.980112,0.0
1.0,2.0,1.24759e-05,0.0
1.0,3.0,1.12741e-05,0.0
1.0,4.0,4.91264e-06,0.0
1.0,5.0,6.90427e-07,0.0
1.0,6.0,1.47562e-05,0.0
1.0,7.0,3.56043e-05,0.0
1.0,8.0,2.87142e-05,0.0
1.0,9.0,8.29718e-06,0.0
1.0,10.0,-6.20896e-07,0.0
1.0,11.0,1.86877e-05,0.0
1.0,12.0,4.0706e-05,0.0
1.0,13.0,2.06452e-05,0.0
1.0,14.0,-8.41869e-06,0.0
1.0,15.0,-8.39873e-06,0.0
1.0,16.0,1.44815e-05,0.0
1.0,17.0,2.09195e-05,0.0
1.0,18.0,-1.61663e-05,0.0
1.0,19.0,-4.22538e-05,0.0
1.0,20.0,-2.04326e-05,0.0
1.0,21.0,8.98586e-06,0.0
1.0,22.0,1.51842e-06,0.0
1.0,23.0,-4.38664e-05,0.0
1.0,24.0,-6.33732e-05,0.0
1.0,25.0,-2.71224e-05,0.0
1.0,26.0,8.79033e-06,0.0
1.0,27.0,5.08788e-06,0.0
1.0,28.0,-3.19685e-05,0.0
1.0,29.0,-5.01244e-05,0.0
1.0,30.0,-2.17215e-05,0.0
1.0,31.0,1.1769e-05,0.0
1.0,32.0,2.40653e-05,0.0
1.0,33.0,9.48382e-06,0.0
1.0,34.0,-9.40808e-06,0.0
1.0,35.0,-6.3864e-06,0.0
1.0,36.0,1.04484e-05,0.0
1.0,37.0,3.37899e-05,0.0
1.0,38.0,4.60341e-05,0.0
1.0,39.0,3.32559e-05,0.0
1.0,40.0,1.05788e-05,0.0
1.0,41.0,-4.3861e-07,0.0
1.0,42.0,1.35476e-05,0.0
1.0,43.0,4.25932e-05,0.0
1.0,44.0,4.8026e-05,0.0
1.0,45.0,1.9155e-05,0.0
1.0,46.0,-1.82844e-05,0.0
1.0,47.0,-3.30098e-05,0.0
1.0,48.0,-2.99563e-06,0.0
1.0,49.0,2.86511e-05,0.0
1.0,50.0,1.6641e-05,0.0
1.0,51.0,-3.22088e-05,0.0
1.0,52.0,-7.27431e-05,0.0
1.0,53.0,-4.80374e-05,0.0
1.0,54.0,3.62724e-06,0.0
1.0,55.0,1.10058e-05,0.0
1.0,56.0,-3.18546e-05,0.0
1.0,57.0,-7.26717e-05,0.0
1.0,58.0,-4.8375e-05,0.0
1.0,59.0,3.42869e-06,0.0
1.0,60.0,1.09695e-05,0.0
1.0,61.0,-1.72168e-05,0.0
1.0,62.0,-3.27326e-05,0.0
1.0,63.0,-4.82046e-06,0.0
1.0,64.0,2.66584e-05,0.0
1.0,65.0,1.60132e-05,0.0
1.0,66.0,2.07139e-06,0.0
1.0,67.0,1.72932e-05,0.0
1.0,68.0,4.29668e-05,0.0
1.0,69.0,4.5553e-05,0.0
1.0,70.0,1.78398e-05,0.0
1.0,71.0,1.42708e-05,0.0
1.0,72.0,4.23491e-05,0.0
1.0,73.0,5.22545e-05,0.0
1.0,74.0,3.3428e-05,0.0
1.0,75.0,9.15105e-06,0.0
1.0,76.0,1.47419e-05,0.0
1.0,77.0,3.02684e-05,0.0
1.0,78.0,1.26436e-05,0.0
1.0,79.0,-1.20462e-05,0.0
1.0,80.0,-9.3261e-06,0.0
1.0,81.0,1.00246e-05,0.0
1.0,82.0,4.65391e-06,0.0
1.0,83.0,-3.94355e-05,0.0
1.0,84.0,-6.15243e-05,0.0
1.0,85.0,-2.75708e-05,0.0
1.0,86.0,9.80487e-06,0.0
1.0,87.0,-4.96778e-07,0.0
1.0,88.0,-5.38523e-05,0.0
1.0,89.0,-7.68066e-05,0.0
1.0,90.0,-3.33539e-05,0.0
1.0,91.0,1.58074e-05,0.0
1.0,92.0,2.16177e-05,0.0
1.0,93.0,-1.88447e-05,0.0
1.0,94.0,-4.79832e-05,0.0
1.0,95.0,-2.34362e-05,0.0
1.0,96.0,2.0609e-05,0.0
1.0,97.0,4.63746e-05,0.0
1.0,98.0,3.10149e-05,0.0
1.0,99.0,-6.26253e-07,0.0
1.0,100.0,-5.94872e-06,0.0
1.0,101.0,1.59422e-05,0.0
1.0,102.0,4.4825e-05,0.0
1.0,103.0,5.11941e-05,0.0
1.0,104.0,2.9716e-05,0.0
1.0,105.0,7.33784e-06,0.0
1.0,106.0,5.23384e-07,0.0
1.0,107.0,8.96303e-06,0.0
1.0,108.0,2.42455e-05,0.0
1.0,109.0,2.61975e-05,0.0
1.0,110.0,1.03108e-05,0.0
1.0,111.0,-1.79949e-05,0.0
1.0,112.0,-3.97854e-05,0.0
1.0,113.0,-2.46005e-05,0.0
1.0,114.0,4.34734e-06,0.0
1.0,115.0,7.09188e-06,0.0
1.0,116.0,-2.79138e-05,0.0
1.0,117.0,-6.54412e-05,0.0
1.0,118.0,-4.87212e-05,0.0
1.0,119.0,-4.4847e-06,0.0
1.0,120.0,6.59665e-06,0.0
1.0,121.0,-2.36276e-05,0.0
1.0,122.0,-5.0886e-05,0.0
1.0,123.0,-2.71303e-05,0.0
1.0,124.0,1.25528e-05,0.0
1.0,125.0,1.22132e-05,0.0
1.0,126.0,-1.05137e-05,0.0
1.0,127.0,-1.34627e-05,0.0
1.0,128.0,1.60506e-05,0.0
1.0,129.0,3.76919e-05,0.0
1.0,130.0,1.84883e-05,0.0
1.0,131.0,1.22375e-06,0.0
1.0,132.0,1.55513e-05,0.0
1.0,133.0,4.08773e-05,0.0
1.0,134.0,4.4306e-05,0.0
1.0,135.0,1.76529e-05,0.0
1.0,136.0,5.29949e-06,0.0
1.0,137.0,1.84405e-05,0.0
1.0,138.0,2.76283e-05,0.0
1.0,139.0,2.17938e-05,0.0
1.0,140.0,7.27539e-06,0.0
1.0,141.0,3.59343e-06,0.0
1.0,142.0,3.13233e-06,0.0
1.0,143.0,-9.57692e-06,0.0
1.0,144.0,-1.68265e-05,0.0
1.0,145.0,-7.71957e-06,0.0
1.0,146.0,2.90422e-06,0.0
1.0,147.0,-6.52809e-06,0.0
1.0,148.0,-3.51845e-05,0.0
1.0,149.0,-4.38447e-05,0.0
1.0,150.0,-1.81755e-05,0.0
1.0,151.0,6.9648e-06,0.0
1.0,152.0,3.56236e-06,0.0
1.0,153.0,-2.63977e-05,0.0
1.0,154.0,-4.0798e-05,0.0
1.0,155.0,-1.80573e-05,0.0
1.0,156.0,1.25116e-05,0.0
1.0,157.0,2.31024e-05,0.0
1.0,158.0,3.61728e-06,0.0
