n1,n2,Re,Im
1.0,1.0,0.9316926772526857,0.0
1.0,2.0,0.02737524945343999,0.0
1.0,3.0,0.01243979772738952,0.0
1.0,4.0,0.0250788185334268,0.0
1.0,5.0,0.04241678177546997,0.0
1.0,6.0,0.01775849095523687,0.0
1.0,7.0,0.00825334745185619,0.0
1.0,8.0,0.007113321864707726,0.0
1.0,9.0,1.203491292910485e-05,0.0
1.0,10.0,-0.00368572671596365,0.0
1.0,11.0,-0.01127147825778806,0.0
1.0,12.0,-0.007654856213804844,0.0
1.0,13.0,-0.004592936707085527,0.0
1.0,14.0,-0.005342540912636904,0.0
1.0,15.0,-0.002596480286117145,0.0
1.0,16.0,-0.00770569330854544,0.0
1.0,17.0,-0.008533357920712806,0.0
1.0,18.0,-0.002479515097359723,0.0
1.0,19.0,-0.005760937680032946,0.0
1.0,20.0,-0.006064322438674733,0.0
1.0,21.0,-0.001539861673373427,0.0
1.0,22.0,-0.002022579451245741,0.0
1.0,23.0,-0.001978882297719084,0.0
1.0,24.0,-0.0006981651834836564,0.0
1.0,25.0,-0.0002941824933659381,0.0
1.0,26.0,-0.001350396642021983,0.0
1.0,27.0,-0.000880290475849586,0.0
1.0,28.0,0.002176815675286536,0.0
1.0,29.0,0.002974039268231435,0.0
1.0,30.0,0.001409705028917926,0.0
1.0,31.0,0.002280421842185584,0.0
1.0,32.0,0.003071892744929017,0.0
1.0,33.0,0.001730809570253135,0.0
1.0,34.0,0.002219130745979443,0.0
1.0,35.0,0.002573039362073813,0.0
1.0,36.0,0.001272950790650659,0.0
1.0,37.0,0.002301468246524449,0.0
1.0,38.0,0.002714304789394552,0.0
1.0,39.0,0.0009705729473993356,0.0
1.0,40.0,0.000792091260520896,0.0
1.0,41.0,0.0004449941576600216,0.0
1.0,42.0,-6.940708677832312e-05,0.0
1.0,43.0,-0.0001167297784370736,0.0
1.0,44.0,9.946528326685603e-05,0.0
1.0,45.0,5.776930243765617e-05,0.0
1.0,46.0,-0.001277891444092666,0.0
1.0,47.0,-0.001306890568396581,0.0
1.0,48.0,-0.0004813583421106032,0.0
1.0,49.0,-0.001738721226214669,0.0
1.0,50.0,-0.002224252574720381,0.0
